player_id,name,season,collected_at,strokes_gained_driving_sg_tee_to_green,strokes_gained_driving_sg_tee_to_green_rank,strokes_gained_driving_sg_tee_to_green_sg:ott,strokes_gained_driving_sg_off_the_tee,strokes_gained_driving_sg_off_the_tee_rank,strokes_gained_driving_sg_off_the_tee_total_sg:ott,strokes_gained_putting_sg_putting,strokes_gained_putting_sg_putting_rank,strokes_gained_putting_sg_putting_total_sg:putting
48867,Matti Schmid,2023,2025-03-22 11:25:05.434,-0.251,143.0,0.237,0.237,52.0,12.343,0.071,82.0,3.698
24502,Adam Scott,2023,2025-03-22 11:27:08.400,0.465,46.0,0.421,0.421,28.0,21.907,0.462,19.0,24.009
46441,Robby Shelton,2023,2025-03-22 11:28:55.526,0.048,105.0,-0.296,-0.296,160.0,-24.576,-0.123,121.0,-10.245
51890,Greyson Sigg,2023,2025-03-22 11:30:58.977,0.367,53.0,0.064,0.064,83.0,5.681,0.018,96.0,1.57
39327,Ben Silverman,2023,2025-03-22 11:33:34.595,-0.029,,0.105,0.105,,0.732,-0.38,,-2.657
29221,Webb Simpson,2023,2025-03-22 11:36:22.395,-0.264,146.0,-0.221,-0.221,151.0,-11.69,-0.036,105.0,-1.912
06567,Vijay Singh,2023,2025-03-22 11:38:40.852,,,,,,,,,
46340,Alex Smalley,2023,2025-03-22 11:42:52.723,0.684,36.0,0.254,0.254,48.0,23.616,-0.299,161.0,-27.795
27649,Brandt Snedeker,2023,2025-03-22 11:44:44.492,-0.897,,-0.811,-0.811,,-24.319,0.402,,12.048
39324,J.J. Spaun,2023,2025-03-22 11:46:33.939,0.799,29.0,0.293,0.293,43.0,24.338,-0.212,149.0,-17.628
34046,Jordan Spieth,2023,2025-03-22 11:48:34.367,0.624,37.0,0.2,0.2,59.0,12.399,0.086,79.0,5.302
50484,Hayden Springer,2023,2025-03-22 11:51:30.351,0.601,,0.334,0.334,,0.668,-1.79,,-3.579
30692,Scott Stallings,2023,2025-03-22 11:53:18.635,-0.017,113.0,0.031,0.031,92.0,2.061,-0.272,153.0,-18.213
51600,Jimmy Stanger,2023,2025-03-22 11:55:02.573,,,,,,,,,
30110,Kyle Stanley,2023,2025-03-22 11:57:02.151,-0.735,,-0.315,-0.315,,-10.09,-1.537,,-49.177
55893,Sam Stevens,2023,2025-03-22 11:58:43.622,0.468,45.0,0.4,0.4,31.0,33.211,-0.314,166.0,-26.056
49960,Sepp Straka,2023,2025-03-22 12:00:31.685,0.258,76.0,-0.01,-0.01,101.0,-0.758,0.216,60.0,16.629
27214,Kevin Streelman,2023,2025-03-22 12:03:08.553,0.284,66.0,0.007,0.007,98.0,0.567,-0.118,118.0,-10.039
60019,Jackson Suber,2023,2025-03-22 12:05:38.791,-1.855,,-0.906,-0.906,,-1.813,-0.072,,-0.143
40115,Adam Svensson,2023,2025-03-22 12:07:38.834,0.541,41.0,0.2,0.2,59.0,20.573,0.217,59.0,22.347
25493,Nick Taylor,2023,2025-03-22 12:12:58.598,0.429,48.0,-0.123,-0.123,128.0,-9.261,0.241,52.0,18.099
51634,Sahith Theegala,2023,2025-03-22 12:15:02.828,0.304,64.0,-0.139,-0.139,134.0,-11.976,0.485,17.0,41.668
33448,Justin Thomas,2023,2025-03-22 12:17:10.550,0.998,18.0,0.198,0.198,62.0,13.296,-0.161,135.0,-10.816
